date,geomagnetic_storm,c_flare_count,m_flare_count,x_flare_count,high_speed_stream_count,c_flare_count_lag_1,m_flare_count_lag_1,x_flare_count_lag_1,high_speed_stream_count_lag_1,c_flare_count_lag_2,m_flare_count_lag_2,x_flare_count_lag_2,high_speed_stream_count_lag_2,c_flare_count_lag_3,m_flare_count_lag_3,x_flare_count_lag_3,high_speed_stream_count_lag_3,m_flare_3d,x_flare_3d,c_flare_3d,hss_3d,year,month,day_of_year
2023-07-11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,7,192
2023-07-12,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,7,193
2023-07-13,0,0,1,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,7,194
2023-07-14,0,1,1,0,0,0,1,0,0,0,4,0,0,0,7,0,0,12.0,0.0,0.0,0.0,2023,7,195
2023-07-15,0,1,3,0,0,1,1,0,0,0,1,0,0,0,4,0,0,6.0,0.0,1.0,0.0,2023,7,196
2023-07-16,0,1,3,0,0,1,3,0,0,1,1,0,0,0,1,0,0,5.0,0.0,2.0,0.0,2023,7,197
2023-07-17,0,0,3,0,0,1,3,0,0,1,3,0,0,1,1,0,0,7.0,0.0,3.0,0.0,2023,7,198
2023-07-18,0,0,4,0,0,0,3,0,0,1,3,0,0,1,3,0,0,9.0,0.0,2.0,0.0,2023,7,199
2023-07-19,0,0,2,0,0,0,4,0,0,0,3,0,0,1,3,0,0,10.0,0.0,1.0,0.0,2023,7,200
2023-07-20,0,0,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,9.0,0.0,0.0,0.0,2023,7,201
2023-07-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6.0,0.0,0.0,0.0,2023,7,202
2023-07-22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.0,0.0,0.0,0.0,2023,7,203
2023-07-23,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,2023,7,204
2023-07-24,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2.0,0.0,1.0,0.0,2023,7,205
2023-07-25,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2.0,0.0,1.0,0.0,2023,7,206
2023-07-26,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2.0,0.0,1.0,0.0,2023,7,207
2023-07-27,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6.0,0.0,0.0,0.0,2023,7,208
2023-07-28,0,0,1,0,0,0,2,0,0,0,4,0,0,0,2,0,0,8.0,0.0,0.0,0.0,2023,7,209
2023-07-29,0,1,1,0,1,0,1,0,0,0,2,0,0,0,4,0,0,7.0,0.0,0.0,0.0,2023,7,210
2023-07-30,0,0,2,0,0,1,1,0,1,0,1,0,0,0,2,0,0,4.0,0.0,1.0,1.0,2023,7,211
2023-07-31,0,0,1,0,0,0,2,0,0,1,1,0,1,0,1,0,0,4.0,0.0,1.0,1.0,2023,7,212
2023-08-01,0,1,8,0,0,0,1,0,0,0,2,0,0,1,1,0,1,4.0,0.0,1.0,1.0,2023,8,213
2023-08-02,0,0,5,0,0,1,8,0,0,0,1,0,0,0,2,0,0,11.0,0.0,1.0,0.0,2023,8,214
2023-08-03,0,0,1,0,0,0,5,0,0,1,8,0,0,0,1,0,0,14.0,0.0,1.0,0.0,2023,8,215
2023-08-04,0,0,1,0,0,0,1,0,0,0,5,0,0,1,8,0,0,14.0,0.0,1.0,0.0,2023,8,216
2023-08-05,1,0,2,1,0,0,1,0,0,0,1,0,0,0,5,0,0,7.0,0.0,0.0,0.0,2023,8,217
2023-08-06,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,4.0,1.0,0.0,0.0,2023,8,218
2023-08-07,0,0,4,1,0,0,1,0,0,0,2,1,0,0,1,0,0,4.0,1.0,0.0,0.0,2023,8,219
2023-08-08,0,0,1,0,0,0,4,1,0,0,1,0,0,0,2,1,0,7.0,2.0,0.0,0.0,2023,8,220
2023-08-09,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,6.0,1.0,0.0,0.0,2023,8,221
2023-08-10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,5.0,1.0,0.0,0.0,2023,8,222
2023-08-11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,1.0,1.0,2023,8,223
2023-08-12,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,2023,8,224
2023-08-13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,1.0,2023,8,225
2023-08-14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2023,8,226
2023-08-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,2023,8,227
2023-08-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,2023,8,228
2023-08-17,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,2023,8,229
2023-08-18,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,2023,8,230
2023-08-19,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0.0,0.0,6.0,1.0,2023,8,231
2023-08-20,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0.0,0.0,6.0,2.0,2023,8,232
2023-08-21,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0.0,0.0,3.0,2.0,2023,8,233
2023-08-22,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,1.0,2023,8,234
2023-08-23,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1.0,0.0,2.0,0.0,2023,8,235
2023-08-24,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1.0,0.0,2.0,0.0,2023,8,236
2023-08-25,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,2.0,0.0,2023,8,237
2023-08-26,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1.0,0.0,3.0,0.0,2023,8,238
2023-08-27,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,2.0,0.0,4.0,0.0,2023,8,239
2023-08-28,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2.0,0.0,2.0,0.0,2023,8,240
2023-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,1.0,0.0,2023,8,241
2023-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,8,242
2023-08-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,8,243
2023-09-01,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,2023,9,244
2023-09-02,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1.0,0.0,3.0,1.0,2023,9,245
2023-09-03,1,4,2,0,0,0,1,0,0,2,1,0,1,1,0,0,0,2.0,0.0,3.0,1.0,2023,9,246
2023-09-04,0,1,0,0,0,4,2,0,0,0,1,0,0,2,1,0,1,4.0,0.0,6.0,1.0,2023,9,247
2023-09-05,0,0,3,0,0,1,0,0,0,4,2,0,0,0,1,0,0,3.0,0.0,5.0,0.0,2023,9,248
2023-09-06,0,0,0,0,0,0,3,0,0,1,0,0,0,4,2,0,0,5.0,0.0,5.0,0.0,2023,9,249
2023-09-07,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3.0,0.0,1.0,0.0,2023,9,250
2023-09-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4.0,0.0,0.0,0.0,2023,9,251
2023-09-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2023,9,252
2023-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,2023,9,253
2023-09-11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,9,254
2023-09-12,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,2023,9,255
2023-09-13,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6.0,0.0,0.0,0.0,2023,9,256
2023-09-14,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6.0,0.0,0.0,0.0,2023,9,257
2023-09-15,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6.0,0.0,0.0,0.0,2023,9,258
2023-09-16,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4.0,0.0,0.0,0.0,2023,9,259
2023-09-17,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,7.0,0.0,0.0,0.0,2023,9,260
2023-09-18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4.0,0.0,0.0,0.0,2023,9,261
2023-09-19,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.0,0.0,0.0,0.0,2023,9,262
2023-09-20,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,0.0,2023,9,263
2023-09-21,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,4.0,0.0,1.0,0.0,2023,9,264
2023-09-22,0,0,4,0,0,0,1,0,0,0,1,0,0,1,3,0,0,5.0,0.0,1.0,0.0,2023,9,265
2023-09-23,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,6.0,0.0,0.0,0.0,2023,9,266
2023-09-24,1,0,2,0,0,0,1,0,0,0,4,0,0,0,1,0,0,6.0,0.0,0.0,0.0,2023,9,267
2023-09-25,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,7.0,0.0,0.0,0.0,2023,9,268
2023-09-26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3.0,0.0,0.0,0.0,2023,9,269
2023-09-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2.0,0.0,0.0,0.0,2023,9,270
2023-09-28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2023,9,271
2023-09-29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,2023,9,272
2023-09-30,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,1.0,2023,9,273
2023-10-01,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0,0.0,1.0,0.0,2023,10,274
2023-10-02,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,3.0,0.0,1.0,0.0,2023,10,275
2023-10-03,0,0,0,0,1,1,1,0,0,0,2,0,0,1,1,0,0,4.0,0.0,2.0,0.0,2023,10,276
2023-10-04,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,3.0,0.0,1.0,1.0,2023,10,277
2023-10-05,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.0,0.0,1.0,1.0,2023,10,278
2023-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,2023,10,279
2023-10-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023,10,280
2023-10-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2023,10,281
2023-10-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2023,10,282
2023-10-10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,2023,10,283
2023-10-11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,2023,10,284
2023-10-12,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0,0.0,0.0,0.0,2023,10,285
2023-10-13,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,3.0,0.0,1.0,0.0,2023,10,286
2023-10-14,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1.0,0.0,1.0,2.0,2023,10,287
2023-10-15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1.0,0.0,1.0,2.0,2023,10,288
