date,c_flare_count,m_flare_count,x_flare_count,high_speed_stream_count,c_flare_count_lag_1,m_flare_count_lag_1,x_flare_count_lag_1,high_speed_stream_count_lag_1,c_flare_count_lag_2,m_flare_count_lag_2,x_flare_count_lag_2,high_speed_stream_count_lag_2,c_flare_count_lag_3,m_flare_count_lag_3,x_flare_count_lag_3,high_speed_stream_count_lag_3,c_flare_3d,m_flare_3d,x_flare_3d,hss_3d,storm_next_3d,cme_count,earth_directed_cme_count,max_cme_speed,fast_cme_count,cme_count_lag_1,earth_directed_cme_count_lag_1,max_cme_speed_lag_1,fast_cme_count_lag_1,cme_count_lag_2,earth_directed_cme_count_lag_2,max_cme_speed_lag_2,fast_cme_count_lag_2,cme_count_lag_3,earth_directed_cme_count_lag_3,max_cme_speed_lag_3,fast_cme_count_lag_3,cme_count_3d,earth_directed_cme_3d,fast_cme_3d,max_cme_speed_3d
2023-07-11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4.0,0.0,1066.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2.0,0.0,842.0,0.0,4.0,0.0,1066.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,0,1,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4.0,0.0,1287.0,1.0,2.0,0.0,842.0,0.0,4.0,0.0,1066.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1287.0
2023-07-14,1,1,0,0,0,1,0,0,0,4,0,0,0,7,0,0,0.0,12.0,0.0,0.0,0,8.0,0.0,934.0,0.0,4.0,0.0,1287.0,1.0,2.0,0.0,842.0,0.0,4.0,0.0,1066.0,1.0,14.0,0.0,1.0,1287.0
2023-07-15,1,3,0,0,1,1,0,0,0,1,0,0,0,4,0,0,1.0,6.0,0.0,0.0,0,5.0,0.0,1441.0,1.0,8.0,0.0,934.0,0.0,4.0,0.0,1287.0,1.0,2.0,0.0,842.0,0.0,17.0,0.0,2.0,1441.0
2023-07-16,1,3,0,0,1,3,0,0,1,1,0,0,0,1,0,0,2.0,5.0,0.0,0.0,0,6.0,1.0,1397.0,3.0,5.0,0.0,1441.0,1.0,8.0,0.0,934.0,0.0,4.0,0.0,1287.0,1.0,19.0,1.0,4.0,1441.0
2023-07-17,0,3,0,0,1,3,0,0,1,3,0,0,1,1,0,0,3.0,7.0,0.0,0.0,0,6.0,0.0,1388.0,2.0,6.0,1.0,1397.0,3.0,5.0,0.0,1441.0,1.0,8.0,0.0,934.0,0.0,17.0,1.0,6.0,1441.0
2023-07-18,0,4,0,0,0,3,0,0,1,3,0,0,1,3,0,0,2.0,9.0,0.0,0.0,0,5.0,0.0,1197.0,1.0,6.0,0.0,1388.0,2.0,6.0,1.0,1397.0,3.0,5.0,0.0,1441.0,1.0,17.0,1.0,6.0,1397.0
2023-07-19,0,2,0,0,0,4,0,0,0,3,0,0,1,3,0,0,1.0,10.0,0.0,0.0,0,3.0,0.0,1378.0,1.0,5.0,0.0,1197.0,1.0,6.0,0.0,1388.0,2.0,6.0,1.0,1397.0,3.0,14.0,0.0,4.0,1388.0
2023-07-20,0,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0.0,9.0,0.0,0.0,0,2.0,0.0,790.0,0.0,3.0,0.0,1378.0,1.0,5.0,0.0,1197.0,1.0,6.0,0.0,1388.0,2.0,10.0,0.0,2.0,1378.0
2023-07-21,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0.0,6.0,0.0,0.0,0,1.0,0.0,367.0,0.0,2.0,0.0,790.0,0.0,3.0,0.0,1378.0,1.0,5.0,0.0,1197.0,1.0,6.0,0.0,1.0,1378.0
2023-07-22,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,2.0,0.0,0.0,0,8.0,0.0,739.0,0.0,1.0,0.0,367.0,0.0,2.0,0.0,790.0,0.0,3.0,0.0,1378.0,1.0,11.0,0.0,0.0,790.0
2023-07-23,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0,3.0,0.0,1028.0,1.0,8.0,0.0,739.0,0.0,1.0,0.0,367.0,0.0,2.0,0.0,790.0,0.0,12.0,0.0,1.0,1028.0
2023-07-24,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.0,2.0,0.0,0.0,0,2.0,0.0,2268.0,2.0,3.0,0.0,1028.0,1.0,8.0,0.0,739.0,0.0,1.0,0.0,367.0,0.0,13.0,0.0,3.0,2268.0
2023-07-25,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1.0,2.0,0.0,0.0,0,2.0,0.0,670.0,0.0,2.0,0.0,2268.0,2.0,3.0,0.0,1028.0,1.0,8.0,0.0,739.0,0.0,7.0,0.0,3.0,2268.0
2023-07-26,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1.0,2.0,0.0,0.0,0,1.0,0.0,345.0,0.0,2.0,0.0,670.0,0.0,2.0,0.0,2268.0,2.0,3.0,0.0,1028.0,1.0,5.0,0.0,2.0,2268.0
2023-07-27,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0,2.0,0.0,680.0,0.0,1.0,0.0,345.0,0.0,2.0,0.0,670.0,0.0,2.0,0.0,2268.0,2.0,5.0,0.0,0.0,680.0
2023-07-28,0,1,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0.0,8.0,0.0,0.0,0,2.0,0.0,2458.0,1.0,2.0,0.0,680.0,0.0,1.0,0.0,345.0,0.0,2.0,0.0,670.0,0.0,5.0,0.0,1.0,2458.0
2023-07-29,1,1,0,1,0,1,0,0,0,2,0,0,0,4,0,0,0.0,7.0,0.0,0.0,0,3.0,0.0,526.0,0.0,2.0,0.0,2458.0,1.0,2.0,0.0,680.0,0.0,1.0,0.0,345.0,0.0,7.0,0.0,1.0,2458.0
2023-07-30,0,2,0,0,1,1,0,1,0,1,0,0,0,2,0,0,1.0,4.0,0.0,1.0,0,2.0,0.0,549.0,0.0,3.0,0.0,526.0,0.0,2.0,0.0,2458.0,1.0,2.0,0.0,680.0,0.0,7.0,0.0,1.0,2458.0
2023-07-31,0,1,0,0,0,2,0,0,1,1,0,1,0,1,0,0,1.0,4.0,0.0,1.0,0,2.0,0.0,636.0,0.0,2.0,0.0,549.0,0.0,3.0,0.0,526.0,0.0,2.0,0.0,2458.0,1.0,7.0,0.0,0.0,636.0
2023-08-01,1,8,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1.0,4.0,0.0,1.0,0,3.0,1.0,1369.0,1.0,2.0,0.0,636.0,0.0,2.0,0.0,549.0,0.0,3.0,0.0,526.0,0.0,7.0,1.0,1.0,1369.0
2023-08-02,0,5,0,0,1,8,0,0,0,1,0,0,0,2,0,0,1.0,11.0,0.0,0.0,1,3.0,0.0,759.0,0.0,3.0,1.0,1369.0,1.0,2.0,0.0,636.0,0.0,2.0,0.0,549.0,0.0,8.0,1.0,1.0,1369.0
2023-08-03,0,1,0,0,0,5,0,0,1,8,0,0,0,1,0,0,1.0,14.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,759.0,0.0,3.0,1.0,1369.0,1.0,2.0,0.0,636.0,0.0,6.0,1.0,1.0,1369.0
2023-08-04,0,1,0,0,0,1,0,0,0,5,0,0,1,8,0,0,1.0,14.0,0.0,0.0,1,3.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,759.0,0.0,3.0,1.0,1369.0,1.0,6.0,0.0,0.0,960.0
2023-08-05,0,2,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0.0,7.0,0.0,0.0,0,4.0,2.0,1757.0,2.0,3.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,759.0,0.0,7.0,2.0,2.0,1757.0
2023-08-06,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0.0,4.0,1.0,0.0,0,3.0,0.0,1260.0,1.0,4.0,2.0,1757.0,2.0,3.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,1757.0
2023-08-07,0,4,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0.0,4.0,1.0,0.0,0,6.0,0.0,1748.0,1.0,3.0,0.0,1260.0,1.0,4.0,2.0,1757.0,2.0,3.0,0.0,960.0,0.0,13.0,2.0,4.0,1757.0
2023-08-08,0,1,0,0,0,4,1,0,0,1,0,0,0,2,1,0,0.0,7.0,2.0,0.0,0,5.0,0.0,648.0,0.0,6.0,0.0,1748.0,1.0,3.0,0.0,1260.0,1.0,4.0,2.0,1757.0,2.0,14.0,0.0,2.0,1748.0
2023-08-09,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0.0,6.0,1.0,0.0,0,3.0,0.0,1103.0,1.0,5.0,0.0,648.0,0.0,6.0,0.0,1748.0,1.0,3.0,0.0,1260.0,1.0,14.0,0.0,2.0,1748.0
2023-08-10,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0.0,5.0,1.0,0.0,0,6.0,0.0,625.0,0.0,3.0,0.0,1103.0,1.0,5.0,0.0,648.0,0.0,6.0,0.0,1748.0,1.0,14.0,0.0,1.0,1103.0
2023-08-11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,0,4.0,0.0,751.0,0.0,6.0,0.0,625.0,0.0,3.0,0.0,1103.0,1.0,5.0,0.0,648.0,0.0,13.0,0.0,1.0,1103.0
2023-08-12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,2.0,0.0,441.0,0.0,4.0,0.0,751.0,0.0,6.0,0.0,625.0,0.0,3.0,0.0,1103.0,1.0,12.0,0.0,0.0,751.0
2023-08-13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.0,1.0,0.0,1.0,0,2.0,0.0,515.0,0.0,2.0,0.0,441.0,0.0,4.0,0.0,751.0,0.0,6.0,0.0,625.0,0.0,8.0,0.0,0.0,751.0
2023-08-14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,4.0,0.0,518.0,0.0,2.0,0.0,515.0,0.0,2.0,0.0,441.0,0.0,4.0,0.0,751.0,0.0,8.0,0.0,0.0,518.0
